Question No,Question statement,Actual Query ,Query Generated from Prompt(Before Fine Tuning)
39341,"CREATE TABLE education_programs (id INT, program_name VARCHAR(50), year INT, attendees INT); INSERT INTO education_programs (id, program_name, year, attendees) VALUES (1, 'Wildlife Conservation', 2023, 40), (2, 'Habitat Protection', 2022, 30);  What is the total number of community education programs conducted in '2022' and '2023' with less than 50 attendees?","SELECT COUNT(*) FROM education_programs WHERE year IN (2022, 2023) AND attendees < 50;","SELECT COUNT(*) AS num_programs
FROM education_programs
WHERE attendees < 50
AND year IN (2022, 2023)"
22836,,,
78400,"CREATE TABLE WasteGeneration (ID INT PRIMARY KEY, WasteType VARCHAR(50), Sector VARCHAR(50), City VARCHAR(50), Year INT, Quantity DECIMAL(10,2)); INSERT INTO WasteGeneration (ID, WasteType, Sector, City, Year, Quantity) VALUES (1, 'Municipal Solid Waste', 'Commercial', 'Seattle', 2021, 5000.50);  What is the total waste generated by commercial sectors in the city of Seattle in 2021?",SELECT SUM(Quantity) FROM WasteGeneration WHERE Sector = 'Commercial' AND City = 'Seattle' AND Year = 2021,"SELECT SUM(Quantity)
FROM WasteGeneration
WHERE Sector = 'Commercial'
AND City = 'Seattle';"
15568,,,
19371,"CREATE TABLE threat_intelligence (id INT, name VARCHAR(255), ip_address VARCHAR(50), threat_level VARCHAR(10)); INSERT INTO threat_intelligence (id, name, ip_address, threat_level) VALUES (1, 'APT28', '192.168.1.1', 'High'), (2, 'APT33', '10.0.0.1', 'Medium'), (3, 'APT34', '172.16.0.1', 'High');  What are the unique threat levels in the 'threat_intelligence' table?",SELECT DISTINCT threat_level FROM threat_intelligence;,"SELECT DISTINCT threat_level
FROM threat_intelligence;"
70111,"CREATE TABLE vessels (id INT, name VARCHAR(255), type VARCHAR(255)); CREATE TABLE safety_inspections (id INT, vessel_id INT, inspection_date DATE, result VARCHAR(255));  Update the safety record of 'Seafarer' by adding a new safety inspection with a 'Pass' result on 2022-11-15.","INSERT INTO safety_inspections (id, vessel_id, inspection_date, result) SELECT nextval('safety_inspections_id_seq'::regclass), v.id, '2022-11-15', 'Pass' FROM vessels v WHERE name = 'Seafarer';","UPDATE safety_inspections
SET result = 'Pass'
WHERE vessel_id = 1; -- 1 is the id of the 'Seafarer' vessel
AND inspection_date = '2022-11-15'; -- The date of the latest inspection"
36086,,,
8270,"CREATE TABLE Products (id INT PRIMARY KEY, name VARCHAR(255), category VARCHAR(255), supplier_id INT, FOREIGN KEY (supplier_id) REFERENCES Suppliers(id)); CREATE TABLE Trends (id INT PRIMARY KEY, product_id INT, trend VARCHAR(255), popularity INT); INSERT INTO Products (id, name, category, supplier_id) VALUES (1, 'Product A', 'Tops', 1); INSERT INTO Products (id, name, category, supplier_id) VALUES (2, 'Product B', 'Bottoms', 2); INSERT INTO Trends (id, product_id, trend, popularity) VALUES (1, 1, 'Color Blocking', 20); INSERT INTO Trends (id, product_id, trend, popularity) VALUES (2, 2, 'Sustainable Fabrics', 25); INSERT INTO Trends (id, product_id, trend, popularity) VALUES (3, 1, 'Animal Print', 18); INSERT INTO Trends (id, product_id, trend, popularity) VALUES (4, 2, 'Neutrals', 22); What are the products in the 'Sustainable Fabrics' trend?",SELECT Products.name FROM Products INNER JOIN Trends ON Products.id = Trends.product_id WHERE Trends.trend = 'Sustainable Fabrics',"SELECT p.name
FROM Products p
JOIN Trends t ON p.id = t.product_id
WHERE t.trend = 'Sustainable Fabrics';"
53558,,,
4111,,,
